# Simulation 7 (Up to date),,,,,,,,
# 648 data points written for 9 variables.,,,,,,,,
#,,,,,,,,
# Tiempo (s),Altitud (m),Altitude above sea level (m),Velocidad vertical (m/s),Velocidad total (m/s),AceleraciÃ³n vertical (m/sÂ²),AceleraciÃ³n total (m/sÂ²),Velocidad horizontal (m/s),AceleraciÃ³n horizontal (m/sÂ²)
# Event IGNITION occurred at t=0 seconds,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,
"7,305","449,049","449,049","26,112","26,261","-10,124","10,125","2,792","0,104"
"7,355","450,342","450,342","25,606","25,757","-10,107","10,108","2,786","0,128"
"7,405","451,61","451,61","25,101","25,255","-10,104","10,104","2,781","0,068"
"7,455","452,852","452,852","24,596","24,752","-10,091","10,091","2,778","0,072"
"7,505","454,07","454,07","24,092","24,251","-10,088","10,088","2,775","0,022"
"7,555","455,261","455,261","23,588","23,75","-10,071","10,071","2,774","0,048"
"7,605","456,428","456,428","23,085","23,25","-10,052","10,052","2,77","0,083"
"7,655","457,57","457,57","22,582","22,751","-10,049","10,049","2,767","0,036"
"7,705","458,687","458,687","22,08","22,252","-10,034","10,034","2,765","0,056"
"7,755","459,778","459,778","21,579","21,755","-10,025","10,025","2,763","0,045"
"7,805","460,844","460,844","21,078","21,258","-10,015","10,015","2,76","0,04"
"7,855","461,886","461,886","20,577","20,761","-10,001","10,002","2,758","0,055"
"7,905","462,902","462,902","20,077","20,266","-9,986","9,986","2,755","0,082"
"7,955","463,893","463,893","19,579","19,771","-9,97","9,97","2,75","0,11"
"8,005","464,86","464,86","19,08","19,277","-9,956","9,956","2,744","0,132"
"8,055","465,802","465,802","18,583","18,783","-9,945","9,946","2,737","0,134"
"8,105","466,718","466,718","18,086","18,291","-9,934","9,935","2,73","0,141"
"8,155","467,61","467,61","17,59","17,799","-9,918","9,919","2,722","0,176"
"8,205","468,477","468,477","17,094","17,308","-9,906","9,908","2,713","0,188"
"8,255","469,32","469,32","16,599","16,818","-9,9","9,901","2,704","0,173"
"8,305","470,137","470,137","16,104","16,328","-9,894","9,895","2,696","0,16"
"8,355","470,93","470,93","15,61","15,839","-9,88","9,881","2,687","0,184"
"8,405","471,698","471,698","15,116","15,351","-9,876","9,877","2,679","0,161"
